ts_code,name,year,roic,wacc,sales_growth,sustainable_growth,value_creation,cash_status,revenue
000568,泸州老窖,2013,157.2694709090216,10,,30.268988588962266,147.2694709090216,,1043112.474
000568,泸州老窖,2014,52.43539511187301,10,-48.67818865,7.35048532117331,42.43539511187301,-56.02867397,535344.2161
000568,泸州老窖,2015,37.06847719948575,10,28.891967423495007,13.296432837097003,27.06847719948575,15.595534586398005,690015.6927
000568,泸州老窖,2016,49.79809564992646,10,20.345043249264588,16.459663350511615,39.79809564992646,3.885379898752973,830399.6838
000568,泸州老窖,2017,106.86349858320006,10,25.17908781428753,15.960038987344296,96.86349858320006,9.219048826943235,1039486.7493459999
000568,泸州老窖,2018,163.13207403528992,10,25.59530720101948,19.467359140400667,153.13207403528992,6.127948060618813,1305546.576
000568,泸州老窖,2019,88.13534077594144,9.83222428041867,21.15181918245212,22.749779644212747,78.30311649552277,-1.597960462,1581693.427
000568,泸州老窖,2020,63.163949383755956,9.176373806130114,5.28497028892849,25.017783688477902,53.98757557762584,-19.7328134,1665285.455
000568,泸州老窖,2021,69.55095387885459,9.212526197791373,23.956296277252434,27.30025888414237,60.33842768106321,-3.343962607,2064226.1724369999
000568,泸州老窖,2022,70.68461961314769,8.989930843476417,21.70935339880625,28.908855975583247,61.694688769671274,-7.199502577,2512356.327
000568,泸州老窖,2023,68.61385242579952,8.726298999906321,20.338429152731077,30.503741531076738,59.8875534258932,-10.16531238,3023330.139
000568,泸州老窖,2024,101.9759754146966,9.256724965498748,3.185053486894186,26.337908977581677,92.71925044919786,-23.15285549,3119624.8208330004
000596,古井贡酒,2013,182.87475409175735,10,,15.982288813319087,172.87475409175735,,458057.5655
000596,古井贡酒,2014,44.560700869910484,10,1.5343099275684755,13.880716539090528,34.560700869910484,-12.34640661,465085.5882
000596,古井贡酒,2015,44.29366928514721,10,12.955800244172682,14.605800324306742,34.29366928514721,-1.65000008,525341.1479399999
000596,古井贡酒,2016,31.480720720244715,10,14.537832875928231,14.737875120167605,21.480720720244715,-0.200042244,601714.3661
000596,古井贡酒,2017,59.200551466946436,10,15.80785571440845,17.31687653306804,49.200551466946436,-1.509020819,696832.5048550001
000596,古井贡酒,2018,94.58587610535973,10,24.651767481734364,21.63814115032722,84.58587610535973,3.0136263314071456,868614.0337
000596,古井贡酒,2019,,10,19.92624088732725,22.60791406671497,,-2.681673179,1041696.1584229999
000596,古井贡酒,2020,141.34038312395526,9.884381679540637,-1.198977733,17.713144403127,131.45600144441462,-18.91212214,1029206.453
000596,古井贡酒,2021,,9.917397695199066,28.932598718889622,13.426770324082632,,15.50582839480699,1326982.627
000596,古井贡酒,2022,,9.948982114769585,25.949155764701555,16.34343270541954,,9.605723059282013,1671323.4153520002
000596,古井贡酒,2023,,9.960872348209437,21.18256952532657,20.5829903140901,,0.5995792112364704,2025352.66
000596,古井贡酒,2024,,9.981597158459103,16.413938836187654,21.19717019032874,,-4.783231354,2357792.807
000799,酒鬼酒,2013,-3.376606641,9.81445833070205,,-2.077647198,-13.19106497,,68463.16072100001
000799,酒鬼酒,2014,-9.166294787,9.880973733775916,-43.25672241,-5.84330134,-19.04726852,-37.41342107,38848.24133
000799,酒鬼酒,2015,8.180868458705419,9.860735018055358,54.762353334456925,5.041746873561626,-1.679866559,49.7206064608953,60122.45252
000799,酒鬼酒,2016,8.5615882198313,9.901398699893722,8.919480388084443,5.821255084120951,-1.33981048,3.098225303963492,65485.06288
000799,酒鬼酒,2017,15.287103735039814,10,34.12698177594513,8.601821172806574,5.287103735039814,25.52516060313856,87833.13835
000799,酒鬼酒,2018,43.79808382120598,10,35.129396224800516,9.992730771564903,33.79808382120598,25.136665453235615,118688.38953900001
000799,酒鬼酒,2019,89.16656896605723,10,27.38422044248915,12.122078771450747,79.16656896605723,15.262141671038401,151190.2798
000799,酒鬼酒,2020,972.1544567480271,10,20.786313625325995,16.978936359976796,962.1544567480271,3.8073772653491993,182617.16549400002
000799,酒鬼酒,2021,,10,86.96847955085477,24.70759502890497,,62.2608845219498,341436.5377
000799,酒鬼酒,2022,,10,18.62855701535993,24.24148524746203,,-5.612928232,405041.23782399995
000799,酒鬼酒,2023,61.404787791212165,10,-30.13873805,11.815351271641877,51.404787791212165,-41.95408932,282966.92015300004
000799,酒鬼酒,2024,0.6543574416536159,10,-49.69980478,0,-9.345642558,-49.69980478,142332.9132
000858,五粮液,2013,237.79265062107368,10,,21.29042115518472,227.79265062107368,,2471858.8617990003
000858,五粮液,2014,49.994788589945564,10,-14.99720368,14.157767359609608,39.994788589945564,-29.15497104,2101149.154
000858,五粮液,2015,65.02853863760969,10,3.083054919760382,13.75466232729616,55.028538637609685,-10.67160741,2165928.736
000858,五粮液,2016,,10,13.317637155054026,13.766472077888533,,-0.448834923,2454379.266
000858,五粮液,2017,,10,22.99150675930763,17.49730721990937,,5.4941995393982594,3018678.041
000858,五粮液,2018,,10,32.608343974800306,20.292882189603645,,12.31546178519666,4003018.96
000858,五粮液,2019,,10,25.200770663606242,22.53613973649676,,2.6646309271094815,5011810.588
000858,五粮液,2020,1422.4034337072783,10,14.371958895787865,22.286520099537583,1412.4034337072783,-7.914561204,5732105.945315001
000858,五粮液,2021,,10,15.505634829070786,22.586088551007396,,-7.080453722,6620905.361
000858,五粮液,2022,12718.260374665088,10,11.719827831840087,22.378606689788967,12708.260374665088,-10.65877886,7396864.07
000858,五粮液,2023,,10,12.577528157927864,22.185049306855014,,-9.607521149,8327206.732
000858,五粮液,2024,,10,7.0889449435962355,21.78827693253769,,-14.69933199,8917517.832
002304,洋河股份,2013,549.2552377170116,9.650521803040329,,27.585169267201042,539.6047159139713,,1502362.494
002304,洋河股份,2014,65.23454741605718,9.999913054946017,-2.339050766,21.81231089972569,55.23463436111116,-24.15136167,1467221.4730180001
002304,洋河股份,2015,68.26452014468903,9.99993591282248,9.407096300607833,22.14247731827001,58.26458423186655,-12.73538102,1605244.41
