ts_code,name,year,core_profit,core_profit_margin,core_profit_yoy_growth
000568,泸州老窖,2013,458486.53322699986,43.953700547057004,
000568,泸州老窖,2014,125148.1172,23.377130717085144,-72.70408003
000568,泸州老窖,2015,163599.24588900007,23.709496411250612,30.72449634860189
000568,泸州老窖,2016,231543.77139900008,27.883412762156425,41.53107500024755
000568,泸州老窖,2017,326750.5432239998,31.433834383129668,41.11826081511725
000568,泸州老窖,2018,461552.4927329999,35.35320004379548,41.255309992426945
000568,泸州老窖,2019,589405.1795,37.26418592238509,27.700573335861183
000568,泸州老窖,2020,771727.4818129999,46.342053820572666,30.9332711518049
000568,泸州老窖,2021,1024877.4390229996,49.64947410840363,32.803024795136345
000568,泸州老窖,2022,1369902.173,54.52658756910746,33.664975012417806
000568,泸州老窖,2023,1759431.3839359994,58.19514585394271,28.434819573143695
000568,泸州老窖,2024,1814275.9610890003,58.15686389508061,3.1171762453338183
000596,古井贡酒,2013,82254.28825799999,17.957194566456206,
000596,古井贡酒,2014,67899.08605000004,14.599266839653028,-17.45222348
000596,古井贡酒,2015,87238.09292,16.605988938822584,28.481984063465827
000596,古井贡酒,2016,103118.24634000003,17.137408072188702,18.203233118503263
000596,古井贡酒,2017,144171.19513100001,20.68950488482161,39.81152729812801
000596,古井贡酒,2018,219920.82569699993,25.318589979832257,52.5414459505386
000596,古井贡酒,2019,258308.71239300002,24.79693433678854,17.455321284074177
000596,古井贡酒,2020,241402.79959099993,23.45523570940556,-6.544848079
000596,古井贡酒,2021,305628.3327330001,23.031826235371362,26.605131858791676
000596,古井贡酒,2022,439751.9192179999,26.311599249950262,43.88453952735185
000596,古井贡酒,2023,625095.1332470002,30.8635204946535,42.14722117838428
000596,古井贡酒,2024,774596.0079720002,32.85259017688313,23.91649954918563
000799,酒鬼酒,2013,457.4798040000048,0.6682130932638639,
000799,酒鬼酒,2014,-12725.56971,-32.75713203,-2881.668085
000799,酒鬼酒,2015,10656.152985999997,17.724082335403974,183.7381212238623
000799,酒鬼酒,2016,13686.299237999996,20.899879509479664,28.435648924907436
000799,酒鬼酒,2017,22090.071780000002,25.1500426771993,61.40281164295267
000799,酒鬼酒,2018,28270.96221,23.81948421055153,27.98039991701647
000799,酒鬼酒,2019,40478.46257100001,26.77319112880692,43.18034977390755
000799,酒鬼酒,2020,60250.47075600001,32.992775127691694,48.845748897502
000799,酒鬼酒,2021,118957.05066500006,34.84016428303502,97.4375455865692
