ts_code,name,year,money_cap_ratio,debt_cap_ratio,net_profit_growth,ocf_growth,related_receivable_ratio,restricted_money_ratio,guarantee_ratio
000568.SZ,泸州老窖,2015,26.851723789817182,,67.4229598798417,-88.3107448,2.075503172443407,0,
000568.SZ,泸州老窖,2015,26.851723789817182,,67.4229598798417,-88.3107448,2.075503172443407,0,
000568.SZ,泸州老窖,2016,34.84920688449962,,30.873874131247902,1618.0861158853097,1.9734319775965534,0,
000568.SZ,泸州老窖,2016,34.84920688449962,,30.873874131247902,1618.0861158853097,1.9734319775965534,0,
000568.SZ,泸州老窖,2017,42.7704208568546,,32.69112711130887,40.69649806630769,1.4444258455907129,0,
000568.SZ,泸州老窖,2017,42.7704208568546,,32.69112711130887,40.69649806630769,1.4444258455907129,0,
000568.SZ,泸州老窖,2018,41.43957444204355,,36.26733786117001,16.36723168476676,0.797432668924979,0,
000568.SZ,泸州老窖,2018,41.43957444204355,,36.26733786117001,16.36723168476676,0.797432668924979,0,
000568.SZ,泸州老窖,2019,33.72640717687311,,33.17453465747715,12.65039110379469,0.5835757957295102,0,
000568.SZ,泸州老窖,2019,33.72640717687311,,33.17453465747715,12.65039110379469,0.5835757957295102,0,
000568.SZ,泸州老窖,2020,33.20518341183579,,29.3782310628495,1.5383954066568986,0.5419106918655787,0,
000568.SZ,泸州老窖,2020,33.20518341183579,,29.3782310628495,1.5383954066568986,0.5419106918655787,0,
000568.SZ,泸州老窖,2021,31.272708398796674,,32.4662203,56.60064412356157,0.10169917333134489,0,
000568.SZ,泸州老窖,2022,34.5574814970338,12.177718050975438,30.29115035265849,7.325963695880568,0.0681542536613433,0,
000568.SZ,泸州老窖,2022,34.5574814970338,12.177718050975438,30.29115035265849,7.325963695880568,0.0681542536613433,0,
000568.SZ,泸州老窖,2023,41.0020514571456,18.29217875808073,27.794547875992283,28.873511105185223,0.054697710163439134,0,
000568.SZ,泸州老窖,2023,41.0020514571456,18.29217875808073,27.794547875992283,28.873511105185223,0.054697710163439134,0,
000596.SZ,古井贡酒,2015,15.13708492561279,,19.85396416122751,103.90223949733361,0.17828820812458265,0,
000596.SZ,古井贡酒,2015,15.13708492561279,,19.85396416122751,103.90223949733361,0.17828820812458265,0,
000596.SZ,古井贡酒,2016,6.10000585705728,,15.93839312820522,49.75541436100052,0.18121334184977547,0,
000596.SZ,古井贡酒,2016,6.10000585705728,,15.93839312820522,49.75541436100052,0.18121334184977547,0,
000596.SZ,古井贡酒,2017,14.617440963916744,,38.464201773246984,-21.32440098,0.22496277505536688,0,
000596.SZ,古井贡酒,2017,14.617440963916744,,38.464201773246984,-21.32440098,0.22496277505536688,0,
000596.SZ,古井贡酒,2018,13.635256764063897,,47.573053198035055,54.7812346468434,0.22939319244923434,0,
000596.SZ,古井贡酒,2018,13.635256764063897,,47.573053198035055,54.7812346468434,0.22939319244923434,0,
000596.SZ,古井贡酒,2019,40.51351341522804,,23.73103985283116,-86.64379465,0.25273300893091954,0,
000596.SZ,古井贡酒,2019,40.51351341522804,,23.73103985283116,-86.64379465,0.25273300893091954,0,
000596.SZ,古井贡酒,2020,39.31888942389533,,-11.58275459,1783.3976785890006,0.32014163245209026,0,
