"ts_code","name","year","revenue","net_profit","oper_cost","biz_tax_surchg","sell_exp","admin_exp","rd_exp","fin_exp","equity_begin","equity_end","assets_begin","assets_end","avg_equity","avg_assets","core_profit","roe","net_margin","asset_turnover","equity_multiplier","operating_roe","other_contribution","operating_contribution_ratio","anomaly"
"000568","泸州老窖","2014","535344.216134","87979.456919","280447.342642","34361.360348","57923.595708","46559.016522000005","0.0","-9095.216278","1056808.446894","971310.388632","1373429.0010459998","1317081.896948","1014059.4177630001","1345255.448997","125148.117192","8.675966652238325","16.434184636259936","39.794985891574996","1.326604166809686","12.341300223617555","-3.6653335713792305","142.24697625403627",""
"000568","泸州老窖","2015","690015.692663","147297.81086","349174.636856","51798.104597000005","87387.460276","43886.549338","0.0","-5830.304293","971310.388632","1027615.8778850001","1317081.896948","1318167.369479","999463.1332584999","1317624.6332135","163599.24588900007","14.737693263359528","21.347023325154936","52.36815366605202","1.3183324020343943","16.36871240619207","-1.6310191428325425","111.06699069987798",""
"000568","泸州老窖","2016","830399.683762","192774.35158299998","311954.227893","84463.824532","153928.23641800001","54388.278375","0.0","-5878.654855","1027615.8778850001","1103050.441815","1318167.369479","1367403.555267","1065333.15985","1342785.4623729999","231543.77139900008","18.095217425705854","23.214646555459293","61.84157536934451","1.2604371223759387","21.734400103682276","-3.6391826779764216","120.11129566648168",""
"000568","泸州老窖","2017","1039486.7493459999","255794.459897","291781.505652","133510.629177","241188.452231","56945.421332000005","0.0","-10689.80227","1103050.441815","1517144.875668","1367403.555267","1975576.10742","1310097.6587415","1671489.8313435002","326750.5432239998","19.524839098080676","24.60776532821941","62.18923560608726","1.2758513231365964","24.940930246213963","-5.416091148133287","127.7394918387097",""
"000568","泸州老窖","2018","1305546.576155","348564.300898","293400.185891","160583.505297","339272.143233","72244.89727999999","6217.2210700000005","-21506.648279","1517144.875668","1696467.147596","1975576.10742","2260492.959642","1606806.0116319999","2118034.533531","455335.27166299993","21.69299208334243","26.698725825972907","61.63953209858709","1.3181644319215333","28.33791188026022","-6.64491979691779","130.631642566358",""
"000568","泸州老窖","2019","1581693.427286","464198.88570299995","306541.80483800004","197585.864523","418610.215359","82894.502492","7164.309977","-20508.449368999998","1696467.147596","1940684.572561","2260492.959642","2891996.907832","1818575.8600785","2576244.933737","589405.179466","25.52540676983156","29.34822119729679","61.39530471552088","1.4166276976896606","32.41026082027493","-6.884854050443369","126.97255370903851",""
"000568","泸州老窖","2020","1665285.45498","600572.306936","282348.455806","222357.195683","309065.583225","84445.44674700001","8585.81198","-13244.520273999999","1940684.572561","2307485.855259","2891996.907832","3500920.382345","2124085.21391","3196458.6450885","771727.4818129999","28.274397985684907","36.064225814259146","52.09782574658942","1.5048636580848294","36.33222795202316","-8.057829966338254","128.49867915991658",""
"000568","泸州老窖","2021","2064226.1724369999","795555.435173","295243.14883099997","286490.154285","359921.160456","105611.636785","13771.232978","-21688.599921","2307485.855259","2804024.700594","3500920.382345","4321178.200568","2555755.2779265","3911049.2914565","1024877.4390229996","31.12799734951302","38.54012926470053","52.77934432956912","1.5302909966519012","40.10076582349813","-8.97276847398511","128.8253959072169",""
"000568","泸州老窖","2022","2512356.327162","1036538.32818","336952.839402","352394.828748","344877.104602","116242.225723","20624.848657","-28637.692748","2804024.700594","3420787.1130029997","4321178.200568","5138548.1354519995","3112405.9067985","4729863.16801","1369902.172778","33.303443034723244","41.257616086285466","53.116892348051294","1.519680693857588","44.01425179748216","-10.710808762758916","132.16126558323558",""
"000568","泸州老窖","2023","3023330.138826","1324639.470059","353715.140315","413312.635068","397442.552692","113948.067723","22595.579733000002","-37115.220641","3420787.1130029997","4139141.049489","5138548.1354519995","6329445.52016","3779964.081246","5733996.827806","1759431.3839359994","35.04370522013943","43.81392071768172","52.72640061753954","1.5169447922150325","46.54624610496386","-11.502540884824434","132.82341525408674",""
"000568","泸州老窖","2024","3119624.8208330004","1347298.647601","388811.618393","475375.55811800004","353838.26159899996","110077.996456","26097.53111","-48852.105932","4139141.049489","4738850.055346","6329445.52016","6833459.556458","4438995.5524175","6581452.5383089995","1814275.9610890003","30.351430446179524","43.18784228807505","47.400247934243076","1.4826445443777716","40.87131738847848","-10.519886942298957","134.6602673668158",""
"000596","古井贡酒","2014","465085.588172","59704.188734","145907.291324","66691.298872","130420.60360599999","57942.469355999994","0.0","-3775.161036","374275.625705","418105.097796","581693.456227","641351.8166029999","396190.3617505","611522.636415","67899.08605000004","15.069571220815964","12.83724764911871","76.05369948339528","1.5435071002562777","17.137995419676397","-2.0684241988604324","113.72583312790789",""
"000596","古井贡酒","2015","525341.1479399999","71557.83696799999","150953.609928","79020.563187","155780.061896","54382.260651","0.0","-2033.4406399999998","418105.097796","483372.163008","641351.8166029999","718314.764113","450738.63040200004","679833.290358","87238.092918","15.875683187877582","13.621213043866254","77.27499600135137","1.5082649777581243","19.354474419065212","-3.47879123118763","121.912702527624",""
"000596","古井贡酒","2016","601714.366056","82963.006338","152358.57795099998","95598.83991","198012.737789","55651.360799","0.0","-3025.396733","483372.163008","559512.138396","718314.764113","873620.515386","521442.1507020001","795967.6397495001","103118.24634000003","15.910299201226769","13.787772241801328","75.5953302630954","1.5264735286127438","19.7755870332261","-3.8652878319993302","124.29424980079126",""
"000596","古井贡酒","2017","696832.5048550001","114874.06449300001","164258.805643","113631.798399","217008.138354","60355.29591","0.0","-2592.728582","559512.138396","645907.837838","873620.515386","1015286.2119049999","602709.988117","944453.3636455","144171.19513100001","19.059591969247453","16.48517594868849","73.78156843714262","1.5670113027265107","23.9204921062322","-4.860900136984746","125.50369464796405",""
"000596","古井贡酒","2018","868614.033689","169523.16430499998","193206.483765","127890.75200899999","268253.530526","64499.704665","2396.6766039999998","-5157.262973","645907.837838","760198.402458","1015286.2119049999","1250992.844972","703053.120148","1133139.5284385","217524.14909299993","24.112426137773717","19.5165122517116","76.6555231627985","1.6117409850908027","30.93993083299436","-6.827504695220643","128.31529542572616",""
"000596","古井贡酒","2019","1041696.1584229999","209752.773986","242604.69248899998","159290.55540399998","318489.42211","68528.05464500001","4237.301733","-9762.580351","760198.402458","894411.1764440001","1250992.844972","1387129.7363159999","827304.789451","1319061.2906439998","258308.71239300002","25.353748299365225","20.135696219091365","78.9725364402451","1.5944078983506547","31.222919979033826","-5.8691716796686","123.14912813035832",""
"000596","古井贡酒","2020","1029206.453441","185457.62492899998","254981.49447600002","162528.916955","312097.71633200004","80220.158048","4059.013646","-26083.645607","894411.1764440001","1004328.8013729999","1387129.7363159999","1518662.570879","949369.9889085","1452896.1535975","241402.79959099993","19.534810147329647","18.01947746333593","70.83826678820735","1.5303792731724215","25.427683875760927","-5.8928737284312795","130.16601484216022",""
"000596","古井贡酒","2021","1326982.626604","229789.441325","330407.701192","203181.520567","400807.54830799997","102218.141974","5144.947536","-20405.565706","1004328.8013729999","1653738.9443639999","1518662.570879","2541808.6447799997","1329033.8728685","2030235.6078294998","305628.3327330001","17.289961227928487","17.3166880046557","65.36101630207644","1.5276026061304004","22.99627864813948","-5.706317420210993","133.0036449763321",""
"000596","古井贡酒","2022","1671323.4153520002","314314.473208","381632.204501","282405.932203","466818.505513","116678.038923","5666.720300999999","-21629.905307","1653738.9443639999","1852075.7973520001","2541808.6447799997","2978982.229865","1752907.3708580001","2760395.4373224997","439751.9192179999","17.931037226122886","18.80632260164929","60.546521442345714","1.5747525985764792","25.087002686442776","-7.155965460319891","139.90826280754524",""
"000596","古井贡酒","2023","2025352.659802","458916.40528","423985.090691","305010.166189","543677.305725","136714.64678900002","7094.719649","-16224.402488","1852075.7973520001","2152530.9609439997","2978982.229865","3542090.727499","2002303.379148","3260536.478682","625095.1332470002","22.919424202104356","22.658592470748477","62.11715995340449","1.6283928362890696","31.21880229323612","-8.299378091131764","136.21111079382945",""
"000596","古井贡酒","2024","2357792.806599","551725.10731","473805.452934","374033.352899","618176.29955","144239.892631","7824.221258","-34882.420645","2152530.9609439997","2465702.3779189996","3542090.727499","4052241.3702089996","2309116.6694314997","3797166.0488539995","774596.0079720002","23.893340454115457","23.40006745994939","62.09348699171562","1.6444236443838303","33.54512217707494","-9.65178172295948","140.39527977050622",""
"000799","酒鬼酒","2014","38848.241333","-9747.529934999999","15590.511851","5908.699587","19021.822930000002","11301.840278","0.0","-249.06360800000002","176562.988667","166815.458732","217728.354192","210691.503933","171689.2236995","214209.9290625","-12725.569705000004","-5.677426762707406","-25.091302979318836","18.135593201968362","1.2476608866111603","-7.411979290717163","1.7345525280097567","130.5517376182339",""
"000799","酒鬼酒","2015","60122.452516","8856.958609000001","17752.661337999998","9142.244537999999","12438.633018999999","10064.531448","0.0","68.229187","166815.458732","175672.41734100002","210691.503933","228097.33797199998","171243.9380365","219394.42095249996","10656.152985999997","5.1721297177317735","14.731532461426047","27.40382014044779","1.2811806564839503","6.222791363118897","-1.0506616453871231","120.31390747577555",""
"000799","酒鬼酒","2016","65485.062877","10858.436832","16376.445596000001","9713.444882","16470.449245","9301.303918000001","0.0","-62.880002000000005","175672.41734100002","186530.854173","228097.33797199998","236079.787839","181101.635757","232088.56290549997","13686.299237999996","5.995769605620635","16.58154753916218","28.215549296008913","1.2815376400957172","7.557247719376818","-1.5614781137561833","126.04299725413735",""
"000799","酒鬼酒","2017","87833.138351","17609.874952000002","19373.495633000002","14099.056628","20541.29784","11839.503978","0.0","-110.287508","186530.854173","200567.747449","236079.787839","254173.662388","193549.30081100002","245126.72511350003","22090.071780000002","9.098392439658545","20.049238001296477","35.83172675697885","1.2664821008724032","11.413149873153431","-2.3147574334948864","125.44138922173988",""
"000799","酒鬼酒","2018","118688.38953900001","22267.884551","25121.287008000003","18989.897161","34591.829225","12811.130135","351.019945","-1096.716196","200567.747449","217963.24349000002","254173.662388","287005.153168","209265.49546950002","270589.407778","27919.942261","10.64097284697634","18.761636784769887","43.86291041975142","1.2930435912089377","13.341875686844547","-2.700902839868208","125.38210442512008",""
"000799","酒鬼酒","2019","151190.27977","29949.566280000003","33636.681351","24115.554732","38387.834287","14651.532345","973.644297","-1053.4298130000002","217963.24349000002","243045.43250300002","287005.153168","322858.336704","230504.33799650002","304931.744936","40478.46257100001","12.993059714327265","19.809187684261932","49.58167927112092","1.322889398032197","17.56082463472537","-4.5677649203981066","135.1554215929701",""
"000799","酒鬼酒","2020","182617.16549400002","49160.830459","38586.213543","28529.782171","42360.663954","14571.477041","1082.167723","-2763.609694","243045.43250300002","285712.742468","322858.336704","433701.315432","264379.08748550003","378279.826068","60250.47075600001","18.594825682532946","26.92015853275042","48.27568189194751","1.4308235559242064","22.789423826612033","-4.194598144079087","122.55787828126448",""
"000799","酒鬼酒","2021","341436.537723","89348.915357","68400.360368","52133.775174","85964.413125","18228.302662000002","1013.6021519999999","-3260.966423","285712.742468","352419.625664","433701.315432","601127.528194","319066.184066","517414.42181299994","118957.05066500006","28.003254440313192","26.168527818626963","65.98898742068683","1.6216523331283859","37.28287628261896","-9.279621842305765","133.13765498965333",""
"000799","酒鬼酒","2022","405041.23782399995","104880.181472","82489.828638","65589.097965","102402.42109","17491.721758","1665.692927","-5425.610105","352419.625664","415222.580633","601127.528194","583433.058635","383821.10314849997","592280.2934145001","140828.08555099994","27.325277482572908","25.893704560910148","68.3867490321068","1.5431154997888363","36.69107414776871","-9.365796665195802","134.27521155519455",""
"000799","酒鬼酒","2023","282966.92015300004","54781.27583200001","61265.89058300001","50862.342314999994","91165.708373","16554.130419999998","1637.568714","-10241.974465000001","415222.580633","427893.19026","583433.058635","566951.137092","421557.88544650003","575192.0978635","71723.25421300001","12.994959345613358","19.359604225956804","49.19520299462658","1.364443929815892","17.013856623043154","-4.0188972774297955","130.92658599802726",""
"000799","酒鬼酒","2024","142332.913244","1249.328941","40753.09773","29239.936743000002","61118.433188","16622.907466999997","2002.400009","-10116.717634","427893.19026","396682.500221","566951.137092","507940.357088","412287.8452405","537445.74709","2712.8557410000058","0.30302347144656394","0.877751261128399","26.483215099321477","1.303569225467929","0.658000417018725","-0.3549769455721611","217.14503298295122",""
"000858","五粮液","2014","2101149.153614","583491.5278939999","577202.940403","151723.639819","430889.74475699995","204702.85467200002","0.0","-65777.555117","3609263.9767","3943037.8341940003","4412950.213830001","4640887.065285","3776150.905447","4526918.639557499","802407.52908","15.452018272159847","27.77011460087867","46.4145552617969","1.198818255125222","21.249350176195232","-5.797331904035385","137.51828273773486",""
"000858","五粮液","2015","2165928.735966","617611.925618","667196.326967","178467.566032","356806.135621","212880.568022","0.0","-73211.144774","3943037.8341940003","4332891.756612","4640887.065285","5254663.494051","4137964.795403","4947775.279668","823789.2840979999","14.925499760271652","28.514877491689322","43.77581061263024","1.1957026036482101","19.90807860456363","-4.982578844291979","133.3829950374894",""
"000858","五粮液","2016","2454379.266059","678453.3260359999","731425.2452380001","194117.454051","469454.507585","214370.34438199998","0.0","-76586.411092","4332891.756612","4707672.973933","5254663.494051","6217440.658319999","4520282.365272501","5736052.076185499","921598.1258949998","15.009091716222912","27.642562639693146","42.788650337553655","1.2689587978514938","20.388065422091","-5.378973705868088","135.83810271513036",""
"000858","五粮液","2017","3018678.040914","967372.149815","845008.727136","349469.607968","362539.791406","226902.470104","0.0","-89050.590186","4707672.973933","5333408.1189480005","6217440.658319999","7092262.667942999","5020540.5464405","6654851.6631315","1323808.034486","19.26828676846071","32.04621813600557","45.36056089180408","1.3255249313442365","26.367838726540377","-7.099551958079665","136.8457872949066",""
"000858","五粮液","2018","4003018.959987","1338424.66836","1048678.293427","590849.7298569999","377843.367501","234049.870544","8408.250626000001","-108501.07636500002","5333408.1189480005","6348727.008056","7092262.667942999","8609426.573308999","5841067.563502001","7850844.620626","1851690.524397001","22.914041890615458","33.43538168913261","50.98838600715821","1.3440770090868528","31.701234479246864","-8.787192588631406","138.34850538625506",""
"000858","五粮液","2019","5011810.587714","1740216.4190159999","1280225.994734","698434.310255","498557.93367700005","265534.714809","12636.042111","-143074.58657400002","6348727.008056","7429070.066222","8609426.573308999","10639697.233366","6888898.537139","9624561.9033375","2399496.1787020005","25.261170702896173","34.72231020226469","52.07312954136707","1.3971118679495949","34.83134735932002","-9.570176656423847","137.8849292813125",""
"000858","五粮液","2020","5732105.945315001","1995480.959452","1481196.147865","809234.85961","557891.852398","260952.968609","13131.522533","-148551.920021","7429070.066222","8570597.264574","10639697.233366","11389313.901372","7999833.665398001","11014505.567369001","2758250.514321","24.944030625075783","34.81235305992484","52.041427645164916","1.3768418229757051","34.47884830720132","-9.534817682125535","138.22484756148575",""
"000858","五粮液","2021","6620905.361211","2337707.4353400003","1631877.858882","978969.8016979999","650350.61319","289996.88673699996","17741.172765","-173170.208522","8570597.264574","9906849.834624","11389313.901372","13562081.222113","9238723.549599001","12475697.5617425","3225139.2364609996","25.30335952569407","35.30797236637167","53.07042214228098","1.3503702643298594","34.90892674887955","-9.605567223185481","137.96162803374625",""
"000858","五粮液","2022","7396864.070454","2669066.139742","1817842.5659639998","1074880.2377040002","684423.701317","306811.926845","23578.364579","-202635.104792","9906849.834624","11402505.878817","13562081.222113","15271472.788022","10654677.8567205","14416777.0050675","3691962.3788369996","25.050650762364164","36.08375271357636","51.30733497406529","1.3530936551004245","34.65109343036845","-9.600442668004284","138.3241248264412",""
"000858","五粮液","2023","8327206.731719","3021058.5269299997","2015714.3952209998","1253169.562842","779629.841813","331944.533977","32184.516527999996","-247317.067627","11402505.878817","12955824.104051","15271472.788022","16543298.168475","12179164.991434","15907385.4782485","4161880.948965001","24.80513671548754","36.279374636185565","52.34805394705175","1.3061146219331683","34.17213702164464","-9.367000306157099","137.76234097636979",""
"000858","五粮液","2024","8917517.83227","3185317.253398","2046142.3083740002","1304091.397028","1069237.611741","355523.81225","40505.363227","-283353.08404600003","12955824.104051","13328528.201597","16543298.168475","18825221.870417003","13142176.152824","17684260.019446","4385370.423695999","24.237365382699856","35.71977441829417","50.426298993930764","1.3456112453374776","33.36867785593992","-9.131312473240065","137.67452579543902",""
"002304","洋河股份","2014","1467221.4730180001","450749.724421","577741.289421","19035.143149","167983.684812","126705.686529","0.0","-23668.630028","1738906.57793","1972473.4071540001","2821844.326161","2875772.321355","1855689.9925419998","2848808.323758","599424.2991350001","24.290141469348804","30.721314587485605","51.50299024268919","1.535174697933024","32.30196323438078","-8.011821765031975","132.98384151093526",""
