ts_code,name,year,core_profit_margin,rd_ratio,rd_note,anomaly,core_profit,net_operate_cash_flow,core_profit_cash_ratio,revenue
568,泸州老窖,2013,43.95370054705701,0,,,458486.5332269999,122659.02624600001,0.26753027048074857,1043112.474
568,泸州老窖,2014,23.377130717085144,0,,,125148.1172,130711.0086,1.0444504601173143,535344.2161
568,泸州老窖,2015,23.70949641125061,0,,获现率低于0.2倍，核心利润现金转化率偏低,163599.24588900007,15279.14337,0.09339372737308763,690015.6927
568,泸州老窖,2016,27.883412762156425,0,,,231543.77139900008,262508.8408,1.1337331134536992,830399.6838
568,泸州老窖,2017,31.433834383129668,0,,,326750.5432239998,369340.74618899997,1.1303447043875394,1039486.749
568,泸州老窖,2018,35.35320004379548,0.47621595302223585,,,461552.4927329999,429791.60182399995,0.931186828347663,1305546.576
568,泸州老窖,2019,37.26418592238509,0.45295187128833814,,,589405.1795,484161.92038599995,0.8214415774639948,1581693.427
568,泸州老窖,2020,46.342053820572666,0.5155759905439155,,,771727.4818129999,491610.2451,0.6370257075400145,1665285.455
568,泸州老窖,2021,49.64947410840363,0.6671377953700051,,,1024877.4390229996,769864.8105,0.7511774395042793,2064226.172
568,泸州老窖,2022,54.52658756910746,0.8209364425621193,,,1369902.173,826264.8269720001,0.6031560817926381,2512356.327
568,泸州老窖,2023,58.19514585394271,0.747373878989229,,,1759431.3839359994,1064836.494,0.6052162666121534,3023330.139
568,泸州老窖,2024,58.15686389508061,0.8365599265653849,,,1814275.9610890003,1918176.836,1.0572685068337864,3119624.8208330004
596,古井贡酒,2013,17.957194566456206,0,,,82254.28825799999,63825.535530999994,0.7759538971488501,458057.5655
596,古井贡酒,2014,14.599266839653028,0,,,67899.08605000004,38749.42899,0.570691466457522,465085.5882
596,古井贡酒,2015,16.605988938822584,0,,,87238.09292,79010.9535,0.9056932683669146,525341.1479399999
596,古井贡酒,2016,17.137408072188702,0,,,103118.24634000004,118323.18080599999,1.1474514453617302,601714.3661
596,古井贡酒,2017,20.68950488482161,0,,,144171.1951,93091.47128,0.6457009057420464,696832.5048550001
596,古井贡酒,2018,25.318589979832257,0.2759196272469803,,,219920.82569699996,144088.12859500002,0.6551818279980457,868614.0337
596,古井贡酒,2019,24.79693433678854,0.40676944988530156,,获现率低于0.2倍，核心利润现金转化率偏低,258308.7124,19244.70635,0.07450273808697719,1041696.158
596,古井贡酒,2020,23.45523570940556,0.3943828405458384,,,241402.79959099996,362454.35255300003,1.501450493395658,1029206.453
596,古井贡酒,2021,23.03182623537136,0.38771777662096485,,,305628.3327330001,525430.8128,1.7191822763304523,1326982.627
596,古井贡酒,2022,26.311599249950262,0.3390558792382967,,,439751.9192179999,310791.4579,0.7067426982483052,1671323.4153520002
596,古井贡酒,2023,30.8635204946535,0.35029552086502264,,,625095.1332470002,449620.6034,0.7192834810702915,2025352.66
596,古井贡酒,2024,32.85259017688313,0.33184515772964523,,,774596.0079720002,472765.28738500003,0.6103378826115631,2357792.807
799,酒鬼酒,2013,0.6682130932638639,0,,获现率为负，需关注经营活动现金流,457.4798040000048,-46804.50178,-102.3094383,68463.16072100001
799,酒鬼酒,2014,-32.75713203,0,,核心利润为负，主营业务亏损,-12725.56971,-6565.362992,0.5159189839194707,38848.24133
799,酒鬼酒,2015,17.724082335403974,0,,获现率超过2倍，可能存在预收款或其他非经常性现金流,10656.152985999996,23066.505613999998,2.164618473881209,60122.45252
799,酒鬼酒,2016,20.899879509479664,0,,,13686.299237999996,21930.78651,1.6023898151451486,65485.06288
799,酒鬼酒,2017,25.1500426771993,0,,,22090.07178,22512.19082,1.019108993633157,87833.13835
799,酒鬼酒,2018,23.81948421055153,0.2957491853067903,,,28270.96221,21225.67165,0.7507941008988804,118688.3895
799,酒鬼酒,2019,26.77319112880692,0.6439860408274739,,,40478.46257100001,38190.95905,0.9434883793328936,151190.2798
799,酒鬼酒,2020,32.992775127691694,0.5925881721124403,,,60250.47075600001,95015.30321900001,1.5770051590765033,182617.1655
799,酒鬼酒,2021,34.84016428303502,0.29686399669697683,,,118957.05066500006,156467.1059,1.3153243544649875,341436.5377
799,酒鬼酒,2022,34.768826578639164,0.411240330996243,,,140828.08555099994,40068.53295,0.28452089508445,405041.2378
799,酒鬼酒,2023,25.34686887577505,0.5787138344095389,,获现率低于0.2倍，核心利润现金转化率偏低,71723.25421300001,5123.918545,0.07144012916345446,282966.92015300004
799,酒鬼酒,2024,1.9059932654855325,1.4068425664739364,,获现率为负，需关注经营活动现金流,2712.8557410000058,-36087.85257,-13.30253284,142332.9132
858,五粮液,2013,46.281819193851135,0,,获现率低于0.2倍，核心利润现金转化率偏低,1144021.2491449998,145891.0757,0.12752479536287786,2471858.8617990003
858,五粮液,2014,38.18898471342932,0,,获现率低于0.2倍，核心利润现金转化率偏低,802407.5291,79456.56453,0.09902270561331958,2101149.154
858,五粮液,2015,38.03399762968616,0,,,823789.2840979999,669106.8449779999,0.8122305763064543,2165928.736
858,五粮液,2016,37.54913263160062,0,,,921598.1258949998,1169676.057,1.269182330188749,2454379.266
858,五粮液,2017,43.85389950645997,0,,,1323808.034,976617.5823,0.7377335359995719,3018678.041
