ts_code,name,year,goodwill_to_equity_ratio,amortization_radical_index,amortization_before_margin,amortization_impact_diff,core_profit_margin,intangible_return_ratio,note,anomaly
000568,泸州老窖,2013,0,0.3040292034148111,44.03565612128714,0.08195557423013611,43.953700547057004,1765.2951827920945,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2014,0,0.3180486682407889,23.531432063042573,0.15430134595742828,23.377130717085144,497.68227896762005,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2015,0,0.3290023503989567,23.829394476728975,0.11989806547835613,23.70949641125062,671.6558276306527,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2016,0,0.3407191987189049,27.98335381972526,0.09994105756883442,27.883412762156425,984.1330143558883,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2017,0,0.35283754051497823,31.51369545413632,0.07986107100666118,31.43383438312966,1414.2648543704245,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2018,0,0.3921316055363543,35.422594543122216,0.0693944993267337,35.35320004379548,1989.7302237059328,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2019,0,0.48606678301404055,37.33547131357084,0.0712853911857465,37.264185922385096,1774.0662360326432,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2020,0,0.6488285188527905,46.471498844280376,0.12944502370771005,46.342053820572666,290.43778802619727,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2021,0,0.24153325124149605,49.96038110307773,0.31090699467409877,49.64947410840363,393.22187189645325,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2022,0,0.3092591470463638,54.84741802252906,0.32083045342159977,54.52658756910746,444.30145578580726,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2023,0,0.2584723058003667,58.45874273175819,0.26359687781548047,58.19514585394271,517.8036301862677,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000568,泸州老窖,2024,0,0.2710825438007899,58.452125127985546,0.29526123290493445,58.15686389508061,530.8161737004647,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2013,0,0.3475257703820807,18.200520213278335,0.24332564682212876,17.957194566456206,260.9384050479094,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2014,0,0.28540962643584517,14.792711292433463,0.19344445278043487,14.599266839653028,221.53856814595224,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2015,0,0.3018940569866063,16.78211666527772,0.17612772645513175,16.605988938822588,292.3800583113738,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2016,8.548223755451223,0.43866289611106757,17.354927942551612,0.21751987036290643,17.137408072188705,147.16786522373266,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2017,7.404825692949063,0.22668531701213737,20.917443296840794,0.22793841201918852,20.689504884821606,208.52627252220546,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2018,6.291561436376796,0.29332417849808706,25.552064095877462,0.23347411604520119,25.31858997983226,296.35585936700613,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
000596,古井贡酒,2019,5.347467785359743,0.3958426867240181,25.07892478786661,0.2819904510780731,24.79693433678854,328.7550170652669,行业平均摊销率假设=10.0%（经验值二级替代）; 期初无形资产用上年账面价值替代,
