ts_code,name,year,industry_barrier,excess_gross_margin,anomaly,rd_intensity,core_profit_margin,rd_exp
568,泸州老窖,2013,0.91110787749409,-12.94949131,,0,43.95370054705701,0
568,泸州老窖,2014,0.5272455750753298,-19.97546901,,0,23.377130717085144,0
568,泸州老窖,2015,0.5386044349542262,-20.43653601,,0,23.70949641125061,0
568,泸州老窖,2016,0.6477722689613324,-8.530481379,,0,27.883412762156425,0
568,泸州老窖,2017,0.6667641403197362,-0.964821645,,0,31.433834383129668,0
568,泸州老窖,2018,0.7181294942741827,3.1588243452510767,,0.47621595302223585,35.35320004379548,6217.2210700000005
568,泸州老窖,2019,0.7534475387179667,4.41464582170623,,0.45295187128833814,37.26418592238509,7164.309977
568,泸州老窖,2020,0.9021465909261687,7.819613681789107,,0.5155759905439155,46.342053820572666,8585.81198
568,泸州老窖,2021,0.9599278375995781,10.344503310594533,,0.6671377953700051,49.64947410840363,13771.23298
568,泸州老窖,2022,1.0232755592121776,9.422307363939964,,0.8209364425621193,54.52658756910746,20624.84866
568,泸州老窖,2023,1.0767833167080014,9.959970619111047,,0.747373878989229,58.19514585394271,22595.57973
568,泸州老窖,2024,1.0780418690292144,11.333982256457588,,0.8365599265653849,58.15686389508061,26097.53111
596,古井贡酒,2013,0.3722312620680534,-0.150139693,,0,17.957194566456206,0
596,古井贡酒,2014,0.32927047094472633,1.038752192718448,,0,14.599266839653028,0
596,古井贡酒,2015,0.37723531255630294,1.43293615211077,,0,16.605988938822584,0
596,古井贡酒,2016,0.3981269368183108,3.7155272664095946,,0,17.137408072188702,0
596,古井贡酒,2017,0.4388589622897791,3.5327373377458855,,0,20.68950488482161,0
596,古井贡酒,2018,0.5142964765686973,3.389108168640746,,0.2759196272469803,25.318589979832257,2396.676604
596,古井贡酒,2019,0.5013711874108356,0.5058628362779558,,0.40676944988530156,24.79693433678854,4237.301733
596,古井贡酒,2020,0.4566060239051459,0,,0.3943828405458384,23.45523570940556,4059.013646
596,古井贡酒,2021,0.4452996038954445,-0.251820964,,0.38771777662096485,23.03182623537136,5144.947536
